"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年02月21日"

"","","","","/項目 コード","F1102","F1107"
"調査年 コード","調査年","地域 コード","地域","/項目","F1102_就業者数【人】","F1107_完全失業者数【人】"
"2010100000","2010年度","11000","埼玉県","","3,482,305","233,980"
"2010100000","2010年度","12000","千葉県","","2,899,396","189,788"
"2010100000","2010年度","13000","東京都","","6,012,536","374,938"
"2010100000","2010年度","14000","神奈川県","","4,146,942","253,257"
"2010100000","2010年度","15000","新潟県","","1,155,795","67,334"
"2010100000","2010年度","16000","富山県","","546,363","30,050"
"2010100000","2010年度","17000","石川県","","582,449","33,061"
"2010100000","2010年度","18000","福井県","","402,251","22,226"
"2010100000","2010年度","19000","山梨県","","414,569","27,314"
"2010100000","2010年度","20000","長野県","","1,091,038","62,845"
"2010100000","2010年度","21000","岐阜県","","1,022,616","60,316"
"2010100000","2010年度","22000","静岡県","","1,897,194","117,074"
"2010100000","2010年度","23000","愛知県","","3,676,174","197,255"
"2010100000","2010年度","24000","三重県","","895,097","47,975"
"2010100000","2010年度","25000","滋賀県","","673,612","35,990"
"2010100000","2010年度","26000","京都府","","1,219,370","80,774"
"2010100000","2010年度","27000","大阪府","","3,815,052","330,566"
"2010100000","2010年度","28000","兵庫県","","2,489,617","174,285"
"2010100000","2010年度","29000","奈良県","","596,525","47,774"
"2010100000","2010年度","30000","和歌山県","","450,969","32,613"
"2010100000","2010年度","31000","鳥取県","","287,332","18,026"
"2010100000","2010年度","32000","島根県","","347,889","16,612"
"2010100000","2010年度","33000","岡山県","","900,116","70,270"
"2010100000","2010年度","34000","広島県","","1,343,318","76,007"
"2010100000","2010年度","35000","山口県","","665,489","41,985"
"2010100000","2010年度","36000","徳島県","","347,093","28,660"
"2010100000","2010年度","37000","香川県","","462,418","30,867"
"2010100000","2010年度","38000","愛媛県","","651,605","51,010"
"2010100000","2010年度","39000","高知県","","335,775","28,011"
"2010100000","2010年度","40000","福岡県","","2,262,722","192,690"
"2010100000","2010年度","41000","佐賀県","","409,277","27,639"
"2010100000","2010年度","42000","長崎県","","650,972","46,307"
"2010100000","2010年度","43000","熊本県","","834,244","59,695"
"2010100000","2010年度","44000","大分県","","550,451","41,928"
"2010100000","2010年度","45000","宮崎県","","531,213","40,079"
"2010100000","2010年度","46000","鹿児島県","","776,993","57,108"
"2010100000","2010年度","47000","沖縄県","","578,638","71,669"
"2005100000","2005年度","01000","北海道","","2,604,271","181,523"
"2005100000","2005年度","02000","青森県","","685,401","62,721"
"2005100000","2005年度","03000","岩手県","","688,614","45,662"
"2005100000","2005年度","04000","宮城県","","1,107,773","81,718"
"2005100000","2005年度","05000","秋田県","","549,994","35,927"
"2005100000","2005年度","06000","山形県","","612,089","30,919"
"2005100000","2005年度","07000","福島県","","1,010,120","64,990"
"2005100000","2005年度","08000","茨城県","","1,461,560","91,005"
"2005100000","2005年度","09000","栃木県","","1,017,139","58,014"
"2005100000","2005年度","10000","群馬県","","1,015,579","60,909"
"2005100000","2005年度","11000","埼玉県","","3,509,189","211,634"
"2005100000","2005年度","12000","千葉県","","2,948,581","175,182"
"2005100000","2005年度","13000","東京都","","5,915,533","354,059"
"2005100000","2005年度","14000","神奈川県","","4,314,535","249,398"
"2005100000","2005年度","15000","新潟県","","1,225,575","61,971"
"2005100000","2005年度","16000","富山県","","578,051","26,600"
"2005100000","2005年度","17000","石川県","","596,324","29,463"
"2005100000","2005年度","18000","福井県","","423,959","18,788"
"2005100000","2005年度","19000","山梨県","","444,200","25,088"
"2005100000","2005年度","20000","長野県","","1,150,880","55,552"
"2005100000","2005年度","21000","岐阜県","","1,071,054","54,255"
"2005100000","2005年度","22000","静岡県","","1,990,647","94,987"
"2005100000","2005年度","23000","愛知県","","3,707,828","178,389"
"2005100000","2005年度","24000","三重県","","922,622","45,721"
"2005100000","2005年度","25000","滋賀県","","680,478","33,737"
"2005100000","2005年度","26000","京都府","","1,248,020","80,102"
"2005100000","2005年度","27000","大阪府","","3,954,211","372,500"
"2005100000","2005年度","28000","兵庫県","","2,553,965","178,427"
"2005100000","2005年度","29000","奈良県","","634,549","45,006"
"2005100000","2005年度","30000","和歌山県","","478,478","32,414"
"2005100000","2005年度","31000","鳥取県","","304,548","17,808"
"2005100000","2005年度","32000","島根県","","368,957","17,153"
"2005100000","2005年度","33000","岡山県","","932,588","51,936"
"2005100000","2005年度","34000","広島県","","1,398,474","72,883"
"2005100000","2005年度","35000","山口県","","716,331","38,113"
"2005100000","2005年度","36000","徳島県","","373,825","29,432"
"2005100000","2005年度","37000","香川県","","490,775","31,681"
"2005100000","2005年度","38000","愛媛県","","679,915","46,286"
"2005100000","2005年度","39000","高知県","","370,395","31,837"
"2005100000","2005年度","40000","福岡県","","2,297,154","183,593"
"2005100000","2005年度","41000","佐賀県","","423,379","25,712"
"2005100000","2005年度","42000","長崎県","","679,847","47,118"
"2005100000","2005年度","43000","熊本県","","873,871","55,063"
"2005100000","2005年度","44000","大分県","","571,645","37,195"
"2005100000","2005年度","45000","宮崎県","","552,738","36,115"
"2005100000","2005年度","46000","鹿児島県","","809,835","59,754"
"2005100000","2005年度","47000","沖縄県","","560,477","75,372"
"2000100000","2000年度","01000","北海道","","2,730,723","136,953"
"2000100000","2000年度","02000","青森県","","729,472","41,830"
"2000100000","2000年度","03000","岩手県","","732,788","30,735"
"2000100000","2000年度","04000","宮城県","","1,153,411","59,372"
"2000100000","2000年度","05000","秋田県","","588,385","26,520"
"2000100000","2000年度","06000","山形県","","642,580","22,211"
"2000100000","2000年度","07000","福島県","","1,060,924","47,535"
"2000100000","2000年度","08000","茨城県","","1,504,046","66,563"
"2000100000","2000年度","09000","栃木県","","1,038,088","44,521"
"2000100000","2000年度","10000","群馬県","","1,040,250","44,693"
"2000100000","2000年度","11000","埼玉県","","3,528,376","173,888"
"2000100000","2000年度","12000","千葉県","","2,975,685","146,330"
"2000100000","2000年度","13000","東京都","","6,158,377","311,553"
"2000100000","2000年度","14000","神奈川県","","4,245,271","213,753"
"2000100000","2000年度","15000","新潟県","","1,265,803","50,811"
"2000100000","2000年度","16000","富山県","","597,702","21,323"
"2000100000","2000年度","17000","石川県","","614,469","23,264"
"2000100000","2000年度","18000","福井県","","439,618","13,971"
"2000100000","2000年度","19000","山梨県","","457,688","18,016"
"2000100000","2000年度","20000","長野県","","1,200,281","38,401"
"2000100000","2000年度","21000","岐阜県","","1,092,373","42,226"
"2000100000","2000年度","22000","静岡県","","2,013,164","79,415"
"2000100000","2000年度","23000","愛知県","","3,687,238","154,233"
"2000100000","2000年度","24000","三重県","","929,866","37,441"
"2000100000","2000年度","25000","滋賀県","","669,487","25,387"
"2000100000","2000年度","26000","京都府","","1,270,485","65,187"
"2000100000","2000年度","27000","大阪府","","4,134,181","311,257"
"2000100000","2000年度","28000","兵庫県","","2,598,880","146,892"
"2000100000","2000年度","29000","奈良県","","655,663","33,993"
"2000100000","2000年度","30000","和歌山県","","499,157","26,005"
"2000100000","2000年度","31000","鳥取県","","319,442","11,833"
"2000100000","2000年度","32000","島根県","","389,849","11,901"
"2000100000","2000年度","33000","岡山県","","955,507","43,274"
"2000100000","2000年度","34000","広島県","","1,428,326","63,538"
"2000100000","2000年度","35000","山口県","","746,704","31,583"
"2000100000","2000年度","36000","徳島県","","390,509","20,096"
"2000100000","2000年度","37000","香川県","","511,354","25,401"
"2000100000","2000年度","38000","愛媛県","","709,607","37,330"
"2000100000","2000年度","39000","高知県","","393,820","22,076"
"2000100000","2000年度","40000","福岡県","","2,323,182","144,487"
"2000100000","2000年度","41000","佐賀県","","431,457","19,975"
"2000100000","2000年度","42000","長崎県","","702,091","35,824"
"2000100000","2000年度","43000","熊本県","","886,887","41,051"
"2000100000","2000年度","44000","大分県","","583,294","27,221"
"2000100000","2000年度","45000","宮崎県","","566,981","29,793"
"2000100000","2000年度","46000","鹿児島県","","828,957","42,754"
"2000100000","2000年度","47000","沖縄県","","555,562","57,440"
"1995100000","1995年度","01000","北海道","","2,806,435","128,772"
"1995100000","1995年度","02000","青森県","","736,263","39,148"
"1995100000","1995年度","03000","岩手県","","747,532","25,023"
"1995100000","1995年度","04000","宮城県","","1,163,946","47,166"
"1995100000","1995年度","05000","秋田県","","608,735","21,206"
"1995100000","1995年度","06000","山形県","","657,193","17,967"
"1995100000","1995年度","07000","福島県","","1,087,442","38,728"
"1995100000","1995年度","08000","茨城県","","1,515,816","59,431"
"1995100000","1995年度","09000","栃木県","","1,040,793","39,623"
"1995100000","1995年度","10000","群馬県","","1,050,985","40,287"
"1995100000","1995年度","11000","埼玉県","","3,512,969","161,602"
"1995100000","1995年度","12000","千葉県","","2,991,808","133,123"
"1995100000","1995年度","13000","東京都","","6,309,698","322,151"
"1995100000","1995年度","14000","神奈川県","","4,273,200","204,266"
"1995100000","1995年度","15000","新潟県","","1,317,329","36,855"
"1995100000","1995年度","16000","富山県","","615,202","17,669"
"1995100000","1995年度","17000","石川県","","631,322","21,305"
"1995100000","1995年度","18000","福井県","","451,422","11,547"
"1995100000","1995年度","19000","山梨県","","462,446","16,445"
"1995100000","1995年度","20000","長野県","","1,218,325","30,659"
"1995100000","1995年度","21000","岐阜県","","1,111,812","36,718"
"1995100000","1995年度","22000","静岡県","","2,040,327","73,951"
"1995100000","1995年度","23000","愛知県","","3,685,478","142,549"
"1995100000","1995年度","24000","三重県","","948,971","32,943"
"1995100000","1995年度","25000","滋賀県","","654,947","21,273"
"1995100000","1995年度","26000","京都府","","1,315,528","60,990"
"1995100000","1995年度","27000","大阪府","","4,370,513","288,210"
"1995100000","1995年度","28000","兵庫県","","2,604,791","140,560"
"1995100000","1995年度","29000","奈良県","","665,774","28,927"
"1995100000","1995年度","30000","和歌山県","","521,584","24,467"
"1995100000","1995年度","31000","鳥取県","","326,765","10,130"
"1995100000","1995年度","32000","島根県","","406,463","10,013"
"1995100000","1995年度","33000","岡山県","","989,559","38,368"
"1995100000","1995年度","34000","広島県","","1,472,610","57,094"
"1995100000","1995年度","35000","山口県","","784,540","29,391"
"1995100000","1995年度","36000","徳島県","","406,031","19,167"
"1995100000","1995年度","37000","香川県","","527,995","21,387"
"1995100000","1995年度","38000","愛媛県","","736,919","34,119"
"1995100000","1995年度","39000","高知県","","409,277","23,176"
"1995100000","1995年度","40000","福岡県","","2,326,268","134,611"
"1995100000","1995年度","41000","佐賀県","","443,037","16,172"
"1995100000","1995年度","42000","長崎県","","725,810","31,977"
"1995100000","1995年度","43000","熊本県","","897,965","38,985"
"1995100000","1995年度","44000","大分県","","601,852","24,209"
"1995100000","1995年度","45000","宮崎県","","582,549","25,816"
"1995100000","1995年度","46000","鹿児島県","","843,625","36,321"
"1995100000","1995年度","47000","沖縄県","","541,693","61,946"
"1990100000","1990年度","01000","北海道","","2,694,903","101,297"
"1990100000","1990年度","02000","青森県","","717,945","33,727"
"1990100000","1990年度","03000","岩手県","","738,363","19,927"
"1990100000","1990年度","04000","宮城県","","1,101,276","30,912"
"1990100000","1990年度","05000","秋田県","","614,522","17,164"
"1990100000","1990年度","06000","山形県","","656,851","11,668"
"1990100000","1990年度","07000","福島県","","1,067,909","26,529"
"1990100000","1990年度","08000","茨城県","","1,430,686","34,841"
"1990100000","1990年度","09000","栃木県","","1,002,011","23,219"
"1990100000","1990年度","10000","群馬県","","1,016,221","25,631"
"1990100000","1990年度","11000","埼玉県","","3,231,551","88,793"
"1990100000","1990年度","12000","千葉県","","2,770,633","75,622"
"1990100000","1990年度","13000","東京都","","6,284,061","200,753"
"1990100000","1990年度","14000","神奈川県","","4,033,686","123,393"
"1990100000","1990年度","15000","新潟県","","1,282,063","26,419"
"1990100000","1990年度","16000","富山県","","594,080","12,075"
"1990100000","1990年度","17000","石川県","","606,265","13,966"
"1990100000","1990年度","18000","福井県","","442,319","8,507"
"1990100000","1990年度","19000","山梨県","","440,137","10,914"
"1990100000","1990年度","20000","長野県","","1,174,104","20,648"
"1990100000","1990年度","21000","岐阜県","","1,077,468","22,262"
"1990100000","1990年度","22000","静岡県","","1,966,117","47,539"
"1990100000","1990年度","23000","愛知県","","3,513,404","88,410"
"1990100000","1990年度","24000","三重県","","897,976","23,925"
"1990100000","1990年度","25000","滋賀県","","600,978","13,243"
"1990100000","1990年度","26000","京都府","","1,273,483","37,344"
"1990100000","1990年度","27000","大阪府","","4,236,759","187,314"
"1990100000","1990年度","28000","兵庫県","","2,543,402","87,685"
"1990100000","1990年度","29000","奈良県","","616,291","18,146"
"1990100000","1990年度","30000","和歌山県","","503,903","17,860"
"1990100000","1990年度","31000","鳥取県","","321,645","8,184"
"1990100000","1990年度","32000","島根県","","402,557","7,971"
"1990100000","1990年度","33000","岡山県","","953,445","28,794"
"1990100000","1990年度","34000","広島県","","1,414,268","37,020"
"1990100000","1990年度","35000","山口県","","766,513","22,358"
"1990100000","1990年度","36000","徳島県","","400,046","16,128"
"1990100000","1990年度","37000","香川県","","510,143","16,288"
"1990100000","1990年度","38000","愛媛県","","721,181","27,357"
"1990100000","1990年度","39000","高知県","","401,535","19,992"
"1990100000","1990年度","40000","福岡県","","2,181,788","102,288"
"1990100000","1990年度","41000","佐賀県","","426,775","12,103"
"1990100000","1990年度","42000","長崎県","","706,441","25,598"
"1990100000","1990年度","43000","熊本県","","872,301","28,620"
"1990100000","1990年度","44000","大分県","","582,392","20,142"
"1990100000","1990年度","45000","宮崎県","","560,769","19,578"
"1990100000","1990年度","46000","鹿児島県","","820,576","28,724"
"1990100000","1990年度","47000","沖縄県","","509,900","42,819"
"1985100000","1985年度","01000","北海道","","2,625,352","119,492"
"1985100000","1985年度","02000","青森県","","718,014","37,358"
