"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年02月21日"

"","","","","/項目 コード","F1102","F1107"
"調査年 コード","調査年","地域 コード","地域","/項目","F1102_就業者数【人】","F1107_完全失業者数【人】"
"1975100000","1975年度","24000","三重県","","782,827","14,788"
"1975100000","1975年度","25000","滋賀県","","488,620","7,075"
"1975100000","1975年度","26000","京都府","","1,148,522","26,052"
"1975100000","1975年度","27000","大阪府","","3,708,084","118,204"
"1975100000","1975年度","28000","兵庫県","","2,257,640","61,296"
"1975100000","1975年度","29000","奈良県","","464,847","9,029"
"1975100000","1975年度","30000","和歌山県","","487,213","13,300"
"1975100000","1975年度","31000","鳥取県","","309,053","5,789"
"1975100000","1975年度","32000","島根県","","405,777","5,852"
"1975100000","1975年度","33000","岡山県","","911,239","17,567"
"1975100000","1975年度","34000","広島県","","1,298,657","27,109"
"1975100000","1975年度","35000","山口県","","762,617","16,687"
"1975100000","1975年度","36000","徳島県","","393,539","12,278"
"1975100000","1975年度","37000","香川県","","481,162","10,067"
"1975100000","1975年度","38000","愛媛県","","685,568","20,818"
"1975100000","1975年度","39000","高知県","","399,550","16,354"
"1975100000","1975年度","40000","福岡県","","1,916,134","76,265"
"1975100000","1975年度","41000","佐賀県","","397,097","10,543"
"1975100000","1975年度","42000","長崎県","","678,264","24,174"
"1975100000","1975年度","43000","熊本県","","796,043","22,884"
"1975100000","1975年度","44000","大分県","","562,627","14,917"
"1975100000","1975年度","45000","宮崎県","","518,779","16,704"
"1975100000","1975年度","46000","鹿児島県","","798,377","23,668"
"1975100000","1975年度","47000","沖縄県","","379,803","33,445"
