"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年10月31日"

"","","","","/項目 コード","C610101","C610102","C610103","C610105","C610106","C610107","C6301"
"調査年 コード","調査年","地域 コード","地域","/項目","C610101_売上金額（民営）（農林漁業）【百万円】","C610102_売上金額（民営）（農業、林業）【百万円】","C610103_売上金額（民営）（漁業）【百万円】","C610105_売上金額（民営）（鉱業、採石業、砂利採取業）【百万円】","C610106_売上金額（民営）（建設業）【百万円】","C610107_売上金額（民営）（製造業）【百万円】","C6301_売上高（サービス産業）【百万円】"
"2012100000","2012年度","09000","栃木県","","***","***","***","***","***","***","3,475,662"
"2012100000","2012年度","10000","群馬県","","***","***","***","***","***","***","3,708,226"
"2012100000","2012年度","11000","埼玉県","","***","***","***","***","***","***","12,338,490"
"2012100000","2012年度","12000","千葉県","","***","***","***","***","***","***","12,147,915"
"2012100000","2012年度","13000","東京都","","***","***","***","***","***","***","71,845,568"
"2012100000","2012年度","14000","神奈川県","","***","***","***","***","***","***","17,956,190"
"2012100000","2012年度","15000","新潟県","","***","***","***","***","***","***","4,121,119"
"2012100000","2012年度","16000","富山県","","***","***","***","***","***","***","1,785,067"
"2012100000","2012年度","17000","石川県","","***","***","***","***","***","***","2,074,867"
"2012100000","2012年度","18000","福井県","","***","***","***","***","***","***","1,547,419"
"2012100000","2012年度","19000","山梨県","","***","***","***","***","***","***","1,464,595"
"2012100000","2012年度","20000","長野県","","***","***","***","***","***","***","3,573,330"
"2012100000","2012年度","21000","岐阜県","","***","***","***","***","***","***","3,537,155"
"2012100000","2012年度","22000","静岡県","","***","***","***","***","***","***","8,721,732"
"2012100000","2012年度","23000","愛知県","","***","***","***","***","***","***","17,379,022"
"2012100000","2012年度","24000","三重県","","***","***","***","***","***","***","3,568,563"
"2012100000","2012年度","25000","滋賀県","","***","***","***","***","***","***","2,077,167"
"2012100000","2012年度","26000","京都府","","***","***","***","***","***","***","5,431,333"
"2012100000","2012年度","27000","大阪府","","***","***","***","***","***","***","25,398,360"
"2012100000","2012年度","28000","兵庫県","","***","***","***","***","***","***","10,809,034"
"2012100000","2012年度","29000","奈良県","","***","***","***","***","***","***","1,756,436"
"2012100000","2012年度","30000","和歌山県","","***","***","***","***","***","***","1,332,454"
"2012100000","2012年度","31000","鳥取県","","***","***","***","***","***","***","986,583"
"2012100000","2012年度","32000","島根県","","***","***","***","***","***","***","974,464"
"2012100000","2012年度","33000","岡山県","","***","***","***","***","***","***","3,373,929"
"2012100000","2012年度","34000","広島県","","***","***","***","***","***","***","5,753,018"
"2012100000","2012年度","35000","山口県","","***","***","***","***","***","***","2,452,125"
"2012100000","2012年度","36000","徳島県","","***","***","***","***","***","***","1,348,678"
"2012100000","2012年度","37000","香川県","","***","***","***","***","***","***","1,901,433"
"2012100000","2012年度","38000","愛媛県","","***","***","***","***","***","***","2,460,793"
"2012100000","2012年度","39000","高知県","","***","***","***","***","***","***","1,154,018"
"2012100000","2012年度","40000","福岡県","","***","***","***","***","***","***","10,191,025"
"2012100000","2012年度","41000","佐賀県","","***","***","***","***","***","***","1,181,920"
"2012100000","2012年度","42000","長崎県","","***","***","***","***","***","***","1,977,222"
"2012100000","2012年度","43000","熊本県","","***","***","***","***","***","***","2,427,095"
"2012100000","2012年度","44000","大分県","","***","***","***","***","***","***","1,539,438"
"2012100000","2012年度","45000","宮崎県","","***","***","***","***","***","***","1,403,460"
"2012100000","2012年度","46000","鹿児島県","","***","***","***","***","***","***","2,134,492"
"2012100000","2012年度","47000","沖縄県","","***","***","***","***","***","***","1,746,789"
"2011100000","2011年度","01000","北海道","","523,028","418,062","67,076","61,561","3,481,878","6,282,862","***"
"2011100000","2011年度","02000","青森県","","115,516","91,489","16,556","14,367","718,346","1,433,522","***"
"2011100000","2011年度","03000","岩手県","","122,636","108,801","11,060","8,481","739,040","1,975,484","***"
"2011100000","2011年度","04000","宮城県","","80,291","65,144","8,655","7,485","2,081,659","2,830,254","***"
"2011100000","2011年度","05000","秋田県","","48,453","45,483","965","15,924","600,879","1,240,214","***"
"2011100000","2011年度","06000","山形県","","49,909","45,793","1,238","4,103","652,042","2,675,068","***"
"2011100000","2011年度","07000","福島県","","60,534","51,958","6,605","9,879","1,068,739","4,395,797","***"
"2011100000","2011年度","08000","茨城県","","143,365","106,946","10,011","8,257","1,510,426","10,789,488","***"
"2011100000","2011年度","09000","栃木県","","77,226","73,978","1,597","10,334","1,055,258","7,724,844","***"
"2011100000","2011年度","10000","群馬県","","83,397","81,487","X","4,461","1,147,460","7,590,500","***"
"2011100000","2011年度","11000","埼玉県","","49,701","46,369","460","13,272","3,408,196","12,559,363","***"
"2011100000","2011年度","12000","千葉県","","121,337","107,028","7,873","22,920","2,870,356","12,125,160","***"
"2011100000","2011年度","13000","東京都","","44,477","37,575","2,897","7,293","15,524,901","12,542,021","***"
"2011100000","2011年度","14000","神奈川県","","178,480","168,043","9,048","4,539","6,448,426","20,124,087","***"
"2011100000","2011年度","15000","新潟県","","132,423","120,376","4,867","133,771","1,879,188","4,473,641","***"
"2011100000","2011年度","16000","富山県","","51,667","36,661","6,414","4,858","734,484","3,422,161","***"
"2011100000","2011年度","17000","石川県","","34,761","22,307","10,046","8,468","802,935","2,529,619","***"
"2011100000","2011年度","18000","福井県","","17,818","15,754","1,428","3,928","714,511","1,971,807","***"
"2011100000","2011年度","19000","山梨県","","13,618","12,237","554","7,469","550,151","2,291,913","***"
"2011100000","2011年度","20000","長野県","","87,478","83,240","1,308","6,546","1,243,603","5,976,655","***"
"2011100000","2011年度","21000","岐阜県","","66,593","63,142","2,082","10,756","1,169,964","5,198,175","***"
"2011100000","2011年度","22000","静岡県","","116,646","60,042","36,118","12,101","2,573,340","15,241,514","***"
"2011100000","2011年度","23000","愛知県","","114,497","107,074","5,076","12,592","5,668,337","38,061,655","***"
"2011100000","2011年度","24000","三重県","","72,451","54,296","15,583","10,905","950,039","9,608,972","***"
"2011100000","2011年度","25000","滋賀県","","21,524","20,566","854","3,921","688,156","6,685,890","***"
"2011100000","2011年度","26000","京都府","","26,440","23,402","1,931","4,256","1,087,212","5,281,430","***"
"2011100000","2011年度","27000","大阪府","","39,487","17,319","399","3,196","7,140,864","17,851,950","***"
"2011100000","2011年度","28000","兵庫県","","61,108","49,754","4,004","7,366","2,624,598","15,114,597","***"
"2011100000","2011年度","29000","奈良県","","10,181","8,446","X","766","441,034","1,795,011","***"
"2011100000","2011年度","30000","和歌山県","","31,414","26,215","5,092","2,706","530,698","3,012,528","***"
"2011100000","2011年度","31000","鳥取県","","30,971","19,395","11,455","896","279,520","752,625","***"
"2011100000","2011年度","32000","島根県","","40,019","26,812","12,542","5,983","478,362","981,814","***"
"2011100000","2011年度","33000","岡山県","","58,363","56,714","956","6,643","1,086,727","7,801,423","***"
"2011100000","2011年度","34000","広島県","","76,231","63,479","7,539","3,484","2,039,227","8,960,806","***"
"2011100000","2011年度","35000","山口県","","31,323","25,919","4,491","9,802","868,525","6,312,477","***"
"2011100000","2011年度","36000","徳島県","","30,279","22,660","6,165","2,528","348,557","1,663,304","***"
"2011100000","2011年度","37000","香川県","","39,088","31,529","7,407","2,434","875,313","2,928,352","***"
"2011100000","2011年度","38000","愛媛県","","87,011","40,671","37,042","3,248","697,528","4,403,041","***"
"2011100000","2011年度","39000","高知県","","42,432","19,286","15,740","18,400","362,124","524,134","***"
"2011100000","2011年度","40000","福岡県","","75,126","69,167","2,102","13,131","3,662,471","8,542,400","***"
"2011100000","2011年度","41000","佐賀県","","28,379","26,553","1,498","2,188","434,705","1,626,539","***"
"2011100000","2011年度","42000","長崎県","","128,556","83,491","40,833","8,350","667,183","1,687,055","***"
"2011100000","2011年度","43000","熊本県","","101,934","78,034","19,118","5,166","1,190,402","2,613,370","***"
"2011100000","2011年度","44000","大分県","","65,612","48,455","16,193","23,722","637,966","4,302,187","***"
"2011100000","2011年度","45000","宮崎県","","172,034","125,270","30,807","1,013","770,518","1,384,677","***"
"2011100000","2011年度","46000","鹿児島県","","262,580","176,356","79,805","32,088","813,821","1,889,032","***"
"2011100000","2011年度","47000","沖縄県","","20,156","15,180","2,270","5,152","1,404,261","627,755","***"
