"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年10月31日"

"","","","","/項目 コード","C610101","C610102","C610103","C610105","C610106","C610107","C6301"
"調査年 コード","調査年","地域 コード","地域","/項目","C610101_売上金額（民営）（農林漁業）【百万円】","C610102_売上金額（民営）（農業、林業）【百万円】","C610103_売上金額（民営）（漁業）【百万円】","C610105_売上金額（民営）（鉱業、採石業、砂利採取業）【百万円】","C610106_売上金額（民営）（建設業）【百万円】","C610107_売上金額（民営）（製造業）【百万円】","C6301_売上高（サービス産業）【百万円】"
"2017100000","2017年度","15000","新潟県","","***","***","***","***","***","***","4,048,454"
"2017100000","2017年度","16000","富山県","","***","***","***","***","***","***","1,795,477"
"2017100000","2017年度","17000","石川県","","***","***","***","***","***","***","2,203,727"
"2017100000","2017年度","18000","福井県","","***","***","***","***","***","***","1,313,311"
"2017100000","2017年度","19000","山梨県","","***","***","***","***","***","***","1,344,069"
"2017100000","2017年度","20000","長野県","","***","***","***","***","***","***","3,396,630"
"2017100000","2017年度","21000","岐阜県","","***","***","***","***","***","***","3,249,773"
"2017100000","2017年度","22000","静岡県","","***","***","***","***","***","***","7,125,142"
"2017100000","2017年度","23000","愛知県","","***","***","***","***","***","***","19,202,602"
"2017100000","2017年度","24000","三重県","","***","***","***","***","***","***","3,563,100"
"2017100000","2017年度","25000","滋賀県","","***","***","***","***","***","***","2,103,910"
"2017100000","2017年度","26000","京都府","","***","***","***","***","***","***","4,697,210"
"2017100000","2017年度","27000","大阪府","","***","***","***","***","***","***","27,176,491"
"2017100000","2017年度","28000","兵庫県","","***","***","***","***","***","***","11,428,597"
"2017100000","2017年度","29000","奈良県","","***","***","***","***","***","***","1,516,050"
"2017100000","2017年度","30000","和歌山県","","***","***","***","***","***","***","1,444,044"
"2017100000","2017年度","31000","鳥取県","","***","***","***","***","***","***","958,343"
"2017100000","2017年度","32000","島根県","","***","***","***","***","***","***","1,209,052"
"2017100000","2017年度","33000","岡山県","","***","***","***","***","***","***","3,856,457"
"2017100000","2017年度","34000","広島県","","***","***","***","***","***","***","5,713,971"
"2017100000","2017年度","35000","山口県","","***","***","***","***","***","***","2,433,464"
"2017100000","2017年度","36000","徳島県","","***","***","***","***","***","***","1,113,774"
"2017100000","2017年度","37000","香川県","","***","***","***","***","***","***","1,950,666"
"2017100000","2017年度","38000","愛媛県","","***","***","***","***","***","***","2,197,759"
"2017100000","2017年度","39000","高知県","","***","***","***","***","***","***","1,073,779"
"2017100000","2017年度","40000","福岡県","","***","***","***","***","***","***","11,844,026"
"2017100000","2017年度","41000","佐賀県","","***","***","***","***","***","***","1,381,203"
"2017100000","2017年度","42000","長崎県","","***","***","***","***","***","***","1,868,006"
"2017100000","2017年度","43000","熊本県","","***","***","***","***","***","***","2,836,825"
"2017100000","2017年度","44000","大分県","","***","***","***","***","***","***","1,646,467"
"2017100000","2017年度","45000","宮崎県","","***","***","***","***","***","***","1,577,885"
"2017100000","2017年度","46000","鹿児島県","","***","***","***","***","***","***","2,366,446"
"2017100000","2017年度","47000","沖縄県","","***","***","***","***","***","***","2,025,025"
"2016100000","2016年度","01000","北海道","","***","***","***","***","***","***","12,491,839"
"2016100000","2016年度","02000","青森県","","***","***","***","***","***","***","2,288,370"
"2016100000","2016年度","03000","岩手県","","***","***","***","***","***","***","2,303,425"
"2016100000","2016年度","04000","宮城県","","***","***","***","***","***","***","5,187,876"
"2016100000","2016年度","05000","秋田県","","***","***","***","***","***","***","1,696,514"
"2016100000","2016年度","06000","山形県","","***","***","***","***","***","***","1,534,778"
"2016100000","2016年度","07000","福島県","","***","***","***","***","***","***","3,567,628"
"2016100000","2016年度","08000","茨城県","","***","***","***","***","***","***","5,468,414"
"2016100000","2016年度","09000","栃木県","","***","***","***","***","***","***","4,043,320"
"2016100000","2016年度","10000","群馬県","","***","***","***","***","***","***","3,516,784"
"2016100000","2016年度","11000","埼玉県","","***","***","***","***","***","***","12,650,872"
"2016100000","2016年度","12000","千葉県","","***","***","***","***","***","***","12,937,718"
"2016100000","2016年度","13000","東京都","","***","***","***","***","***","***","79,648,523"
"2016100000","2016年度","14000","神奈川県","","***","***","***","***","***","***","19,533,829"
"2016100000","2016年度","15000","新潟県","","***","***","***","***","***","***","3,980,843"
"2016100000","2016年度","16000","富山県","","***","***","***","***","***","***","1,767,033"
"2016100000","2016年度","17000","石川県","","***","***","***","***","***","***","2,149,065"
"2016100000","2016年度","18000","福井県","","***","***","***","***","***","***","1,273,970"
"2016100000","2016年度","19000","山梨県","","***","***","***","***","***","***","1,312,553"
"2016100000","2016年度","20000","長野県","","***","***","***","***","***","***","3,477,804"
"2016100000","2016年度","21000","岐阜県","","***","***","***","***","***","***","3,245,317"
"2016100000","2016年度","22000","静岡県","","***","***","***","***","***","***","6,947,467"
"2016100000","2016年度","23000","愛知県","","***","***","***","***","***","***","18,714,335"
"2016100000","2016年度","24000","三重県","","***","***","***","***","***","***","3,631,226"
"2016100000","2016年度","25000","滋賀県","","***","***","***","***","***","***","2,114,310"
"2016100000","2016年度","26000","京都府","","***","***","***","***","***","***","4,740,854"
"2016100000","2016年度","27000","大阪府","","***","***","***","***","***","***","26,592,463"
"2016100000","2016年度","28000","兵庫県","","***","***","***","***","***","***","11,283,718"
"2016100000","2016年度","29000","奈良県","","***","***","***","***","***","***","1,467,841"
"2016100000","2016年度","30000","和歌山県","","***","***","***","***","***","***","1,449,788"
"2016100000","2016年度","31000","鳥取県","","***","***","***","***","***","***","959,132"
"2016100000","2016年度","32000","島根県","","***","***","***","***","***","***","1,181,857"
"2016100000","2016年度","33000","岡山県","","***","***","***","***","***","***","3,834,862"
"2016100000","2016年度","34000","広島県","","***","***","***","***","***","***","5,748,384"
"2016100000","2016年度","35000","山口県","","***","***","***","***","***","***","2,333,788"
"2016100000","2016年度","36000","徳島県","","***","***","***","***","***","***","1,095,231"
"2016100000","2016年度","37000","香川県","","***","***","***","***","***","***","1,961,713"
"2016100000","2016年度","38000","愛媛県","","***","***","***","***","***","***","2,182,533"
"2016100000","2016年度","39000","高知県","","***","***","***","***","***","***","1,051,591"
"2016100000","2016年度","40000","福岡県","","***","***","***","***","***","***","11,707,701"
"2016100000","2016年度","41000","佐賀県","","***","***","***","***","***","***","1,351,051"
"2016100000","2016年度","42000","長崎県","","***","***","***","***","***","***","1,897,877"
"2016100000","2016年度","43000","熊本県","","***","***","***","***","***","***","2,742,357"
"2016100000","2016年度","44000","大分県","","***","***","***","***","***","***","1,610,937"
"2016100000","2016年度","45000","宮崎県","","***","***","***","***","***","***","1,612,045"
"2016100000","2016年度","46000","鹿児島県","","***","***","***","***","***","***","2,315,371"
"2016100000","2016年度","47000","沖縄県","","***","***","***","***","***","***","1,959,016"
"2015100000","2015年度","01000","北海道","","679,657","591,451","76,672","55,038","4,123,247","6,895,649","10,757,528"
"2015100000","2015年度","02000","青森県","","143,429","126,353","16,830","11,174","878,391","2,079,441","2,171,691"
"2015100000","2015年度","03000","岩手県","","141,180","126,939","13,093","16,242","1,054,944","2,515,000","2,240,121"
"2015100000","2015年度","04000","宮城県","","115,332","86,590","27,088","11,168","3,495,570","4,363,256","4,947,685"
"2015100000","2015年度","05000","秋田県","","66,980","65,944","804","11,275","694,015","1,290,850","1,477,941"
"2015100000","2015年度","06000","山形県","","64,054","61,813","1,504","4,581","767,640","2,658,761","1,546,608"
"2015100000","2015年度","07000","福島県","","85,536","75,295","9,911","12,679","1,857,258","5,083,847","3,544,030"
"2015100000","2015年度","08000","茨城県","","171,464","156,910","14,236","10,438","1,832,495","12,515,111","5,066,850"
"2015100000","2015年度","09000","栃木県","","102,059","99,523","1,290","11,909","1,339,602","9,040,495","3,728,288"
"2015100000","2015年度","10000","群馬県","","113,552","112,022","417","4,045","1,439,224","9,458,456","3,514,973"
"2015100000","2015年度","11000","埼玉県","","67,113","X","X","14,632","4,172,923","14,812,275","12,265,885"
"2015100000","2015年度","12000","千葉県","","165,939","148,571","9,841","42,379","3,494,055","13,319,971","12,529,570"
"2015100000","2015年度","13000","東京都","","51,699","49,900","1,607","6,234","19,938,753","16,210,764","75,684,686"
"2015100000","2015年度","14000","神奈川県","","67,028","56,851","7,488","6,811","5,422,202","19,877,874","18,443,130"
"2015100000","2015年度","15000","新潟県","","134,286","122,684","10,578","113,310","2,129,075","4,986,642","3,634,631"
"2015100000","2015年度","16000","富山県","","38,450","30,819","7,536","5,596","873,181","3,929,155","1,773,619"
"2015100000","2015年度","17000","石川県","","34,213","23,924","9,721","3,343","986,934","3,615,923","2,362,877"
"2015100000","2015年度","18000","福井県","","20,224","18,844","1,380","2,255","779,332","2,151,941","1,433,731"
"2015100000","2015年度","19000","山梨県","","21,253","20,206","824","6,019","542,087","2,522,608","1,406,915"
"2015100000","2015年度","20000","長野県","","106,565","104,438","1,741","4,983","1,500,580","6,151,232","3,563,164"
"2015100000","2015年度","21000","岐阜県","","74,016","70,537","2,275","9,200","1,414,466","5,683,230","2,922,913"
"2015100000","2015年度","22000","静岡県","","101,918","60,976","39,079","11,907","2,473,224","17,638,537","7,862,918"
"2015100000","2015年度","23000","愛知県","","150,711","138,114","7,037","8,912","6,656,961","48,237,192","18,251,790"
"2015100000","2015年度","24000","三重県","","80,108","55,790","23,878","9,105","1,173,743","11,199,974","3,472,330"
"2015100000","2015年度","25000","滋賀県","","27,114","25,672","1,278","2,032","829,809","7,576,184","2,008,830"
"2015100000","2015年度","26000","京都府","","32,789","29,787","2,919","5,639","1,307,244","6,001,231","5,513,551"
"2015100000","2015年度","27000","大阪府","","17,663","16,626","886","2,936","8,599,466","19,207,925","25,593,753"
"2015100000","2015年度","28000","兵庫県","","78,483","73,708","4,483","6,920","3,061,278","16,877,385","11,059,549"
"2015100000","2015年度","29000","奈良県","","10,151","X","X","4,518","561,393","1,973,102","1,646,229"
"2015100000","2015年度","30000","和歌山県","","33,124","21,851","10,182","4,483","626,009","2,738,282","1,446,317"
"2015100000","2015年度","31000","鳥取県","","46,364","29,726","15,427","960","345,869","732,870","905,211"
"2015100000","2015年度","32000","島根県","","61,171","48,040","13,084","5,310","530,917","1,160,884","1,056,819"
"2015100000","2015年度","33000","岡山県","","73,394","72,549","577","6,168","1,352,437","8,248,733","3,898,641"
"2015100000","2015年度","34000","広島県","","96,761","85,969","10,731","2,068","2,406,198","10,994,352","6,086,319"
"2015100000","2015年度","35000","山口県","","38,908","32,782","6,116","10,656","979,984","6,429,931","2,475,911"
"2015100000","2015年度","36000","徳島県","","38,947","29,371","6,575","4,745","431,403","1,786,169","1,165,695"
"2015100000","2015年度","37000","香川県","","68,153","59,580","8,377","2,654","888,409","2,687,826","1,866,687"
"2015100000","2015年度","38000","愛媛県","","107,450","62,890","44,231","2,211","890,899","4,421,040","2,577,162"
"2015100000","2015年度","39000","高知県","","50,200","26,832","22,052","15,930","460,832","602,349","1,055,167"
"2015100000","2015年度","40000","福岡県","","62,689","60,252","2,182","20,449","4,372,253","10,997,983","11,339,379"
"2015100000","2015年度","41000","佐賀県","","38,155","35,304","1,943","2,415","532,686","1,892,494","1,373,244"
"2015100000","2015年度","42000","長崎県","","128,476","66,889","61,259","11,839","761,996","1,764,510","2,110,264"
"2015100000","2015年度","43000","熊本県","","123,233","99,142","21,359","5,152","960,842","2,879,937","2,704,170"
"2015100000","2015年度","44000","大分県","","79,701","58,870","20,730","30,391","799,991","4,352,828","2,041,271"
"2015100000","2015年度","45000","宮崎県","","309,939","270,471","38,818","974","643,946","1,668,096","1,669,710"
"2015100000","2015年度","46000","鹿児島県","","326,338","235,611","88,664","40,898","984,977","2,153,850","2,588,333"
"2015100000","2015年度","47000","沖縄県","","25,155","20,533","4,056","8,464","922,829","602,872","2,080,182"
"2014100000","2014年度","01000","北海道","","***","***","***","***","***","***","10,169,962"
"2014100000","2014年度","02000","青森県","","***","***","***","***","***","***","1,978,953"
"2014100000","2014年度","03000","岩手県","","***","***","***","***","***","***","2,232,592"
"2014100000","2014年度","04000","宮城県","","***","***","***","***","***","***","4,950,487"
"2014100000","2014年度","05000","秋田県","","***","***","***","***","***","***","1,471,028"
"2014100000","2014年度","06000","山形県","","***","***","***","***","***","***","1,746,734"
"2014100000","2014年度","07000","福島県","","***","***","***","***","***","***","3,262,763"
"2014100000","2014年度","08000","茨城県","","***","***","***","***","***","***","5,315,802"
"2014100000","2014年度","09000","栃木県","","***","***","***","***","***","***","3,508,565"
"2014100000","2014年度","10000","群馬県","","***","***","***","***","***","***","3,609,716"
"2014100000","2014年度","11000","埼玉県","","***","***","***","***","***","***","12,073,582"
"2014100000","2014年度","12000","千葉県","","***","***","***","***","***","***","12,576,852"
"2014100000","2014年度","13000","東京都","","***","***","***","***","***","***","73,393,257"
"2014100000","2014年度","14000","神奈川県","","***","***","***","***","***","***","17,981,899"
"2014100000","2014年度","15000","新潟県","","***","***","***","***","***","***","4,008,553"
"2014100000","2014年度","16000","富山県","","***","***","***","***","***","***","1,795,906"
"2014100000","2014年度","17000","石川県","","***","***","***","***","***","***","2,084,750"
"2014100000","2014年度","18000","福井県","","***","***","***","***","***","***","1,518,900"
"2014100000","2014年度","19000","山梨県","","***","***","***","***","***","***","1,542,321"
"2014100000","2014年度","20000","長野県","","***","***","***","***","***","***","3,573,573"
"2014100000","2014年度","21000","岐阜県","","***","***","***","***","***","***","3,333,150"
"2014100000","2014年度","22000","静岡県","","***","***","***","***","***","***","7,333,364"
"2014100000","2014年度","23000","愛知県","","***","***","***","***","***","***","17,520,064"
"2014100000","2014年度","24000","三重県","","***","***","***","***","***","***","3,486,951"
"2014100000","2014年度","25000","滋賀県","","***","***","***","***","***","***","2,198,345"
"2014100000","2014年度","26000","京都府","","***","***","***","***","***","***","5,044,975"
"2014100000","2014年度","27000","大阪府","","***","***","***","***","***","***","25,074,727"
"2014100000","2014年度","28000","兵庫県","","***","***","***","***","***","***","11,179,626"
"2014100000","2014年度","29000","奈良県","","***","***","***","***","***","***","1,688,670"
"2014100000","2014年度","30000","和歌山県","","***","***","***","***","***","***","1,389,972"
"2014100000","2014年度","31000","鳥取県","","***","***","***","***","***","***","878,007"
"2014100000","2014年度","32000","島根県","","***","***","***","***","***","***","1,082,790"
"2014100000","2014年度","33000","岡山県","","***","***","***","***","***","***","3,531,468"
"2014100000","2014年度","34000","広島県","","***","***","***","***","***","***","5,727,623"
"2014100000","2014年度","35000","山口県","","***","***","***","***","***","***","2,481,276"
"2014100000","2014年度","36000","徳島県","","***","***","***","***","***","***","1,177,926"
"2014100000","2014年度","37000","香川県","","***","***","***","***","***","***","1,877,702"
"2014100000","2014年度","38000","愛媛県","","***","***","***","***","***","***","2,299,007"
