1999,1132314
1999,295311
1999,226357
1999,628562
1999,231709
1999,240380
1999,386611
1999,627315
1999,536873
1999,477273
1999,1509212
1999,1444404
1999,23137324
1999,2346068
1999,580178
1999,343736
1999,353249
1999,195222
1999,157706
1999,468088
1999,477398
1999,885958
1999,2290683
1999,427508
1999,292710
1999,838810
1999,6543819
1999,1450526
1999,328783
1999,228464
1999,140927
1999,123125
1999,475230
1999,974750
1999,312400
1999,250589
1999,353637
1999,441459
1999,187080
1999,1884488
1999,149577
1999,371883
1999,357642
1999,250346
1999,179324
1999,286569
1999,254862
2000,1098665
2000,303143
2000,221934
2000,612372
2000,224404
2000,240621
2000,380686
2000,606653
2000,525172
2000,461594
2000,1512599
2000,1408929
2000,22273393
2000,2313116
2000,544896
2000,343293
2000,342932
2000,194518
2000,150805
2000,455585
2000,473141
2000,895620
2000,2270981
2000,416021
2000,288790
2000,809967
2000,6390356
2000,1394805
2000,321168
2000,223684
2000,140131
2000,120331
2000,472177
2000,944957
2000,307256
2000,252124
2000,343925
2000,444751
2000,188121
2000,1834477
2000,145586
2000,366421
2000,354256
2000,248456
2000,176863
2000,286486
2000,260209
2001,1069977
2001,307062
2001,220348
2001,585025
2001,221545
2001,249327
2001,387767
2001,591644
2001,518246
2001,449251
2001,1498488
2001,1377580
2001,21664283
2001,2263447
2001,512635
2001,336241
2001,333510
2001,194761
2001,147275
2001,453771
2001,468454
2001,911889
2001,2242778
2001,408530
2001,284187
2001,779820
2001,6104797
2001,1352287
2001,314846
2001,217009
2001,139773
2001,116275
2001,467930
2001,904359
2001,296768
2001,247005
2001,329999
2001,448994
2001,189221
2001,1792681
2001,142046
2001,357324
2001,348307
2001,247169
2001,173198
2001,281575
2001,266212
2002,1015206
2002,299800
2002,219028
2002,556182
2002,222546
2002,243689
2002,362066
2002,571626
2002,503562
2002,442068
2002,1425644
2002,1336960
2002,20777827
2002,2180440
2002,484931
2002,333431
2002,326253
2002,196340
2002,145337
2002,441039
2002,447437
2002,893661
2002,2114770
2002,399317
2002,281064
2002,749997
2002,5737009
2002,1295336
2002,304731
2002,204809
2002,138780
2002,114082
2002,470434
2002,859852
2002,290929
2002,242151
2002,304278
2002,456167
2002,190121
2002,1696460
2002,138954
2002,350133
2002,333725
2002,246728
2002,169854
2002,277037
2002,268788
2003,1013638
2003,296521
2003,213910
2003,546556
2003,220402
2003,233769
2003,348877
2003,564489
2003,500578
2003,438302
2003,1387433
2003,1321259
2003,19465883
2003,2136058
2003,482497
2003,329452
2003,314400
2003,193245
2003,139211
2003,428650
2003,426268
2003,862180
2003,1971824
2003,390332
2003,284586
2003,722549
2003,5320821
2003,1253222
2003,307204
2003,193673
2003,142880
2003,116044
2003,461744
2003,825155
2003,286224
2003,236412
2003,293689
2003,458482
2003,186587
2003,1632867
2003,137399
2003,343269
2003,326488
2003,246445
2003,169937
2003,274899
2003,277334
2004,1008856
2004,280631
2004,213899
2004,540694
2004,214119
2004,230801
2004,342944
2004,566722
2004,480997
2004,430394
2004,1448224
2004,1319851
2004,18403892
2004,2142035
2004,482130
2004,332223
2004,310302
2004,192849
2004,129495
2004,424745
2004,420479
2004,870247
2004,1918287
2004,387358
2004,291633
2004,707393
2004,5022428
2004,1225611
2004,311570
2004,190533
2004,141526
2004,116993
2004,460803
2004,818790
2004,284552
2004,234707
2004,287787
2004,467247
2004,185333
2004,1584910
2004,134768
2004,333721
2004,321020
2004,248042
2004,171442
2004,272637
2004,285272
2005,1015552
2005,272334
2005,215524
2005,548063
2005,209009
2005,232045
2005,346915
2005,573920
2005,456722
2005,424311
2005,1521818
2005,1333798
2005,17661768
2005,2156702
2005,482703
2005,320567
2005,305068
2005,195835
2005,128390
2005,421242
2005,424797
2005,895164
2005,1929635
2005,392203
2005,295492
2005,698199
2005,4876701
2005,1224702
2005,316552
2005,188692
2005,140011
2005,119476
2005,464361
2005,811640
2005,283959
2005,231345
2005,283586
2005,478643
2005,184873
2005,1568677
2005,134297
2005,322013
2005,322114
2005,249728
2005,171521
2005,279072
2005,284334
2006,1053668
2006,266307
2006,218483
2006,558586
2006,212574
2006,235976
2006,349967
2006,578664
2006,455819
2006,428687
2006,1586146
2006,1362552
2006,18306991
2006,2178125
2006,483451
2006,318921
2006,304329
2006,206306
2006,131110
2006,416800
2006,435321
2006,927794
2006,1940193
2006,398548
2006,309129
2006,700838
2006,4785564
2006,1213833
2006,314800
2006,183657
2006,140446
2006,119520
2006,468853
2006,825821
2006,287714
2006,231317
2006,294319
2006,503136
2006,185049
2006,1572773
2006,132369
2006,304841
2006,326701
2006,249712
2006,175343
2006,290380
2006,280441
2007,1052000
2007,260809
2007,216084
2007,568648
2007,212615
2007,228274
2007,346008
2007,589064
2007,458540
2007,435432
2007,1631621
2007,1382122
2007,18568866
2007,2191144
2007,490212
2007,322602
2007,304744
2007,208465
2007,130858
2007,413054
2007,438739
2007,961731
2007,1930011
2007,402154
2007,319415
2007,697408
2007,4713406
2007,1201321
2007,307454
2007,181363
2007,137713
2007,115896
2007,474275
2007,866903
2007,297099
2007,227857
2007,299189
2007,528209
2007,183840
2007,1580699
2007,133885
2007,295030
2007,331315
2007,250058
2007,185762
2007,300813
2007,289263
2008,1065343
2008,263532
2008,221124
2008,584092
2008,210775
2008,225913
2008,343914
2008,602482
2008,464587
2008,436680
2008,1652482
2008,1395065
2008,19492585
2008,2188616
2008,498895
2008,325935
2008,306725
2008,214196
2008,133405
2008,401281
2008,440826
2008,989815
2008,1911859
2008,402470
2008,329733
2008,702864
2008,4655675
2008,1190893
2008,300014
2008,181595
2008,135656
2008,115414
2008,474381
2008,885406
2008,306534
2008,225356
2008,294702
2008,551477
2008,182122
2008,1616225
2008,133390
2008,287849
2008,344782
2008,249286
2008,193029
2008,311726
2008,300864
2009,1089887
2009,261575
2009,228118
2009,590022
2009,211166
2009,238234
2009,347286
2009,614365
2009,471998
2009,438216
2009,1638102
2009,1397508
2009,20705285
2009,2147949
2009,512801
2009,326611
2009,304506
2009,213835
2009,134874
2009,393275
2009,445882
2009,1031040
2009,1917319
2009,401444
2009,334449
2009,705762
2009,4558722
2009,1172574
2009,290546
2009,179393
2009,136146
2009,115886
2009,479447
2009,902806
2009,317193
2009,224112
2009,293485
2009,561678
2009,180547
2009,1661256
2009,134043
2009,280581
2009,351977
2009,250190
2009,195723
2009,318295
2009,311339
2010,1097961
2010,262560
2010,227521
2010,589530
2010,209286
2010,243774
2010,341905
2010,611863
2010,471471
2010,430067
2010,1635201
2010,1410402
2010,20127443
2010,2116054
2010,509807
2010,323064
2010,300738
2010,202095
2010,135837
2010,382911
2010,444678
2010,1022419
2010,1905892
2010,393903
2010,331687
2010,686009
2010,4471574
2010,1160133
2010,282753
2010,177067
2010,137040
2010,115954
2010,471368
2010,897210
2010,319846
2010,217412
2010,282787
2010,574148
2010,176600
2010,1658847
2010,134526
2010,273754
2010,354663
2010,251602
2010,199337
2010,320454
2010,315290
2011,1099996
2011,263057
2011,232603
2011,588859
2011,214941
2011,247413
2011,343337
2011,608892
2011,474845
2011,414228
2011,1645978
2011,1428722
2011,20040230
2011,2111600
2011,506985
2011,326426
2011,302082
2011,199492
2011,135731
2011,377043
2011,444972
2011,1033625
2011,1912191
2011,392013
2011,327351
