表題：,都道府県・市区町村のすがた（社会・人口統計体系）
公開日：,2025年10月31日

***,***,***,***,/項目 コード,A1101,C1224,D310412
調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,C1224_企業所得（平成27年基準）【百万円】,D310412_貸付金（都道府県財政）【千円】,貸出金【億円】
2023100000,2023年度,44000,大分県,***,"1,096,000",***,***,323322
2023100000,2023年度,45000,宮崎県,***,"1,042,000",***,***,332889
2023100000,2023年度,46000,鹿児島県,***,"1,549,000",***,***,497953
2023100000,2023年度,47000,沖縄県,***,"1,468,000",***,***,525719
2022100000,2022年度,1000,北海道,***,"5,140,000",***,***,1364756
2022100000,2022年度,2000,青森県,***,"1,204,000",***,***,336750
2022100000,2022年度,3000,岩手県,***,"1,181,000",***,***,319770
2022100000,2022年度,4000,宮城県,***,"2,280,000",***,***,910419
2022100000,2022年度,5000,秋田県,***,"930,000",***,***,257225
2022100000,2022年度,6000,山形県,***,"1,041,000",***,***,300102
2022100000,2022年度,7000,福島県,***,"1,790,000",***,***,473158
2022100000,2022年度,8000,茨城県,***,"2,840,000",***,***,724208
2022100000,2022年度,9000,栃木県,***,"1,909,000",***,***,601445
2022100000,2022年度,10000,群馬県,***,"1,913,000",***,***,535952
2022100000,2022年度,11000,埼玉県,***,"7,337,000",***,***,2040331
2022100000,2022年度,12000,千葉県,***,"6,266,000",***,***,1925915
2022100000,2022年度,13000,東京都,***,"14,038,000",***,***,28992644
2022100000,2022年度,14000,神奈川県,***,"9,232,000",***,***,2485840
2022100000,2022年度,15000,新潟県,***,"2,153,000",***,***,617631
2022100000,2022年度,16000,富山県,***,"1,017,000",***,***,419243
2022100000,2022年度,17000,石川県,***,"1,118,000",***,***,395426
2022100000,2022年度,18000,福井県,***,"753,000",***,***,239494
2022100000,2022年度,19000,山梨県,***,"802,000",***,***,160737
2022100000,2022年度,20000,長野県,***,"2,020,000",***,***,458091
2022100000,2022年度,21000,岐阜県,***,"1,946,000",***,***,405948
2022100000,2022年度,22000,静岡県,***,"3,582,000",***,***,1210269
2022100000,2022年度,23000,愛知県,***,"7,495,000",***,***,2986565
